name;open;high;low;close;volume;marketCap;timestamp
"2781";67705.8559481758;67884.4386973496;67491.4494295225;67761.1166371937;43840700569.91;1339550195254.76;"2024-10-16T16:00:00.000Z"
"2781";67761.9629024744;68065.1706548044;67692.6368813796;67955.1894886705;42904234903.5;1343572632899.26;"2024-10-16T17:00:00.000Z"
"2781";67965.3303436909;68045.8308944663;67795.7790054012;67802.1313095537;41948077756.83;1340506896537.48;"2024-10-16T18:00:00.000Z"
"2781";67810.1524067689;67932.4422137017;67660.2377120969;67784.3030921294;40834644345.46;1339976366494.59;"2024-10-16T19:00:00.000Z"
"2781";67783.2844430815;67944.3476411369;67656.3982887442;67656.3982887442;40147960598.85;1337504477146.57;"2024-10-16T20:00:00.000Z"
"2781";67658.1025274839;67683.0351783015;67489.6758778541;67571.4706418679;39214237316.46;1335814769456.4;"2024-10-16T21:00:00.000Z"
"2781";67572.5973463049;67837.5226518306;67551.8704233226;67764.5131484268;38642501952.89;1339606239932.8;"2024-10-16T22:00:00.000Z"
"2781";67764.3249065106;67801.6380754013;67603.4390505464;67612.7207776042;38195189533.82;1336696892492.18;"2024-10-16T23:00:00.000Z"
"2781";67617.0795713375;67912.2076398065;67589.700875728;67686.7073773401;37857178529.37;1338078756122;"2024-10-17T00:00:00.000Z"
"2781";67686.9300599941;67872.9892646581;67415.3392642133;67837.6350778461;37405015069.29;1341086351090.29;"2024-10-17T01:00:00.000Z"
"2781";67839.0354208902;67885.2624803877;67409.2096732806;67445.6095710489;37156180608.8;1333296071992.39;"2024-10-17T02:00:00.000Z"
"2781";67444.8368603276;67675.4393116013;67419.8849725859;67595.6669664422;36952704729.72;1336246760067.86;"2024-10-17T03:00:00.000Z"
"2781";67594.0975384741;67594.168715967;67248.2771765051;67271.6394178938;36861603556.56;1329524472351.05;"2024-10-17T04:00:00.000Z"
"2781";67253.9856978543;67454.5932461144;67239.1655991634;67319.9994572463;36718411094.13;1331137896579.83;"2024-10-17T05:00:00.000Z"
"2781";67335.5258149766;67465.4400983113;67229.7397251865;67257.1175147246;36844039413.52;1329442445088.2;"2024-10-17T06:00:00.000Z"
"2781";67249.6356418464;67258.2230911795;67073.2096472922;67256.5373608077;37145974509.17;1329443991087.2;"2024-10-17T07:00:00.000Z"
"2781";67249.6594169473;67448.8380273653;67183.7901967897;67432.2863898108;36746020221.86;1333040011391.19;"2024-10-17T08:00:00.000Z"
"2781";67431.4781123731;67494.9376670788;67194.1552670514;67194.1552670514;36432157554.48;1328350777608.96;"2024-10-17T09:00:00.000Z"
"2781";67194.1894807228;67270.9909453595;66820.9082991331;67213.3303165866;35047134496.17;1328820948167.13;"2024-10-17T10:00:00.000Z"
"2781";67217.8878997075;67251.4437283027;66787.205482529;66856.4371167685;33755601010.41;1321610432491.33;"2024-10-17T11:00:00.000Z"
"2781";66853.0926768125;67149.0356360982;66802.6463896388;67141.2099657916;32724469739.79;1327124820341.98;"2024-10-17T12:00:00.000Z"
"2781";67132.0356035421;67300.6922210668;66647.391211274;67054.281417193;32062505260.85;1325426111284.49;"2024-10-17T13:00:00.000Z"
"2781";67046.0359184694;67254.8915848025;66697.3964400642;67101.5580237782;31291497625.4;1326592409313.4;"2024-10-17T14:00:00.000Z"
"2781";67096.4436781076;67168.2715874848;66940.2688121085;67094.7790525657;0;0;"2024-10-17T15:00:00Z"
